0,Ericsson.,72,1991-08-16,1256
1,И поддерживается компанией Ericsson.,64,2004-06-08,1073
2,То же время,92,2014-07-26,1499
3,Чистый,13,2001-04-21,2204
4,"Концептуализации, определяющий",95,2002-08-31,1847
5,Время стандартная,0,2002-12-16,2003
6,Из самых распространённых,78,2015-12-24,1874
7,Организацию,94,2005-04-27,1646
8,Себя средства порождения,15,1989-12-23,1376
9,Программирование —,81,1995-11-01,1013
10,Нескольких NoSQL-базах данных,4,2002-02-24,1273
11,"Определение функции, которое",77,2022-10-19,1990
12,Форма организации простой,48,1969-05-17,1466
13,Синтаксис и,10,1997-11-30,1251
14,Простой интерактивной,49,1998-05-23,1294
15,В связи с,6,1981-11-27,1151
16,— форма организации простой,30,2009-06-22,2218
17,Черта языка,64,1973-02-08,1120
18,Поддерживаться,29,1989-08-28,2064
19,"Язык программирования общего назначения,",45,1972-09-20,1338
20,Совокупность идей,47,1977-09-26,1247
21,Из,35,1979-07-25,1511
22,Обычно транслируются,46,1965-11-09,1834
23,Минималистичен.,3,2022-12-15,1759
24,— высокоуровневый,5,2014-08-16,1105
25,Простой,88,2022-10-19,1664
26,"Программирования общего назначения,",87,2011-06-19,1274
27,"Стиль программирования, отличающийся обширным",65,2016-02-17,2794
28,Функциональный,98,1994-11-30,1342
29,Простой,71,1998-10-23,2985
30,Транслируются в,4,2016-03-23,1503
31,"Транслируются в специальный байт-код,",56,2004-06-02,1016
32,Расти,58,2002-10-31,4207
33,В,57,2002-05-12,4815
34,Это совокупность идей и,95,2013-09-16,2925
35,Организацию вычислений,7,2000-08-09,1062
36,Из самых распространённых,58,1985-11-08,1569
37,Век,95,2002-06-10,1211
38,— форма организации,9,1979-01-08,2640
39,На уровне системы типов,27,1998-05-21,2689
40,Транслируются в специальный,2,2001-03-08,2028
41,В,6,1958-05-01,1797
42,"Программирования, который скорее используется",45,1975-09-06,1205
43,Использует сопоставление с,75,2015-06-22,3820
44,И некоторые концепции Erlang,78,1990-01-02,1148
45,Java обычно транслируются в,15,1970-03-15,2568
46,Компанией Ericsson.,18,1975-08-10,2231
47,Организацию вычислений и,61,2014-02-18,1140
48,Функциональный язык программирования,99,1995-10-08,3259
49,Информации слишком,76,2005-06-17,1563
50,— серьёзное,4,2019-12-23,1412
51,Программирование может поддерживаться на,91,1972-05-06,1001
52,Организации простой интерактивной,96,1975-12-20,2897
53,Язык программирования с,74,2018-01-23,1105
54,"— стиль программирования, отличающийся",72,1976-02-22,1416
55,Одним из самых,19,1982-07-01,1209
56,Использует сопоставление,95,2010-08-02,1978
57,Применяется в,50,2000-02-13,1535
58,"Способ концептуализации,",96,1970-11-24,2170
59,Языка — серьёзное,63,1992-05-17,1070
60,Одним из,4,2013-12-06,6034
61,Использует,50,2001-10-29,1906
62,Программирование может поддерживаться на,25,2019-02-11,1616
63,Расти,31,1953-06-29,3150
64,— это совокупность идей,49,1996-11-15,2380
65,Простой интерактивной среды,54,2016-08-29,1224
66,— строго типизированный объектно-ориентированный,38,1979-03-15,1087
67,Время стандартная,73,2015-01-05,1792
68,Программирование — стиль,42,1985-02-16,1408
69,Начала,48,1947-02-01,1369
70,В,70,2020-11-23,3640
71,"Несколько парадигм программирования, в",14,2016-11-16,2696
72,— высокоуровневый,30,2018-01-07,5004
73,Из самых,16,1976-04-06,1183
74,"Программирования, отличающийся",30,2008-10-17,1210
75,Программирование может поддерживаться на,39,1977-03-07,1309
76,"Объектно-Ориентированный язык программирования, разработанный",40,1994-07-29,1374
77,Информации,28,2022-05-15,1199
78,Python минималистичен.,60,2020-05-04,1795
79,В себя,15,2000-10-01,2182
80,Для применения,82,1974-08-27,1134
81,Языка,14,1999-05-03,1319
82,"Определение функции, которое",68,1967-02-17,1974
83,Python минималистичен.,86,1991-09-29,1884
84,— стандартизированный чистый,67,1990-02-13,1073
85,Типизированный объектно-ориентированный,14,2014-10-12,6035
86,— серьёзное отношение,49,2003-08-30,1418
87,Был целенаправленно разработан для,37,2003-05-15,1910
88,"Способ концептуализации,",67,2016-01-20,2425
89,Организации простой,72,2004-10-18,1274
90,"Поддерживает несколько парадигм программирования,",65,2013-05-22,2315
91,И поддерживается компанией Ericsson.,52,2003-05-23,1227
92,Чистый функциональный,44,2003-02-12,1265
93,Программирования — это совокупность,9,1980-09-19,1301
94,"Функции, которое использует",3,2005-03-18,1177
95,Распространённых языков программирования с,16,1977-02-28,1232
96,Nosql-Базах данных высокой доступности.,48,1995-09-07,1963
97,Стандартизированный,89,2014-05-27,3105
98,Транслируются в,7,2018-01-06,1770
99,Java обычно транслируются в,12,2005-03-28,1948
100,Стандартизированный,2,2018-03-14,1136
101,Распространено даже,62,2011-06-29,1793
102,В нескольких NoSQL-базах данных,58,2004-11-06,2923
103,Начала,25,2017-09-11,2962
104,В нескольких,34,2009-06-05,1240
105,"Для применения в распределённых,",86,1999-07-19,1308
106,Объектно-Ориентированный,12,2021-01-10,1433
107,Программирования с сильной,8,1970-03-08,1173
108,—,24,2019-07-01,1885
109,Нескольких NoSQL-базах,27,2012-06-26,1422
110,Обычно транслируются в,19,2015-11-21,1454
111,Распространено даже на битовые,53,1974-11-11,1004
112,Которое,20,2018-06-20,1245
113,То,87,2002-07-30,1867
114,Java обычно,79,2013-07-12,1898
115,Ядра,61,1974-04-04,2494
116,— функциональный язык,94,2000-09-28,1236
117,Стандартная библиотека включает,39,2012-08-10,1631
118,Чистый функциональный,65,2009-10-27,1385
119,"Слишком много, чтобы понять",37,2008-02-08,1555
120,То же,52,2012-03-30,1492
121,"Слишком много, чтобы",61,1991-03-13,1901
122,Распространённых,65,2007-05-20,2706
123,Распространённых языков,64,1972-06-25,2006
124,Время,35,1953-06-25,4817
125,Образцом распространено даже на,86,2004-02-18,1679
126,Совокупность идей и,16,2000-02-01,1576
127,"Функции, которое",3,2013-12-30,1073
128,Образцом распространено даже на,26,1981-12-04,2540
129,Программирование,54,1974-02-08,3506
130,Наш век информации,3,2015-01-09,1071
131,Которое,38,2012-02-04,1457
132,"Является декларативным языком программирования,",63,1962-09-14,1135
133,Поддерживаться на,47,2009-01-09,3409
134,Ericsson.,50,1991-09-19,1448
135,— стиль,30,2019-11-17,2453
136,Может поддерживаться на,26,1974-05-31,1246
137,Черта,17,2010-08-17,1130
138,Определяющий,41,1998-03-07,1343
139,Век,14,1994-04-18,1380
140,Nosql-Базах данных высокой,16,1967-02-17,1544
141,Компанией Ericsson.,64,1997-09-29,1092
142,Функциональный язык,47,1973-06-05,1797
143,Стандартизированный чистый функциональный,67,1969-03-21,1040
144,Программирования общего,88,2003-04-17,2040
145,"Программирования, отличающийся обширным использованием",99,2004-06-18,1577
146,— стандартизированный,29,2004-10-01,1294
147,Наш век,59,1996-09-03,1801
148,Же время стандартная,82,1977-12-14,1329
149,Обычно транслируются в,49,2013-07-16,1018
150,Же время,84,2022-06-15,4847
151,Декларативным,96,2013-03-25,2054
152,В,94,2014-09-12,1747
153,Наш век информации слишком,13,1968-07-19,1612
154,Программирования с сильной,52,1990-05-22,1564
155,Ericsson.,75,2013-12-03,1649
156,Начала расти в связи,20,2021-11-19,1569
157,Некоторые концепции Erlang унаследовал,32,2014-04-28,3344
158,Программирование —,20,2010-07-02,1474
159,Стандартная библиотека включает большой,74,2010-12-02,2376
160,Которое использует сопоставление с,66,2017-08-04,1274
161,Компанией Ericsson.,18,2013-01-05,4451
162,Чистый,76,2004-11-24,1176
163,Определяющий организацию вычислений и,24,2000-04-18,1489
164,"Концептуализации, определяющий",64,1994-04-16,1395
165,Типизированный объектно-ориентированный язык,21,1997-08-01,2318
166,"Способ концептуализации, определяющий организацию",74,2014-02-03,1795
167,Одним,97,2018-07-23,1298
168,Век информации,43,2010-10-25,1175
169,"Стиль программирования,",86,2007-02-02,1082
170,Стандартная библиотека включает,76,1958-04-07,1413
171,"Программирования,",54,1999-06-12,1418
172,Форма,29,2006-07-22,1459
