0,С,17,1996-05-07,4678
1,Это,83,1975-03-24,1353
2,Концепции Erlang унаследовал от,7,2004-12-13,1863
3,То же,64,1974-04-23,3482
4,Ядра Python минималистичен.,82,2004-10-24,1120
5,Век,4,1985-12-28,1092
6,Же время стандартная,67,2013-12-01,1075
7,"Программирования, отличающийся обширным",80,1981-04-17,6630
8,"Программирования,",73,2011-12-01,1416
9,Программирования,36,1991-02-28,1162
10,Черта языка —,58,1994-03-05,2819
11,Типизированный,67,2014-05-30,1426
12,"Концептуализации, определяющий организацию вычислений",64,2001-09-05,1478
13,Обычно,57,2006-04-30,1148
14,Концепции Erlang,97,2001-05-15,1032
15,"Функции, которое",54,1990-12-20,2430
16,Распространено даже на битовые,13,2001-09-23,2954
17,"Функции,",30,2008-05-13,1487
18,И,53,1990-03-01,1293
19,Ядра Python минималистичен.,66,1989-08-18,1358
20,"В специальный байт-код, поэтому",66,1995-06-14,1965
21,Же,43,2005-04-07,1925
22,Минималистичен.,48,2016-05-08,1263
23,Был целенаправленно,64,2004-05-24,2100
24,Время стандартная библиотека включает,86,1988-04-22,1193
25,Программирование может поддерживаться,68,1977-09-04,1398
26,Язык,98,2014-01-13,2081
27,Чистый функциональный язык программирования,88,2011-11-27,3743
28,"Транслируются в специальный байт-код,",4,1966-10-06,1663
29,Определение,25,2006-01-26,1293
30,Форма организации простой,66,1981-03-15,2715
31,Компанией Ericsson.,69,1962-08-24,1573
32,Python минималистичен.,90,2019-06-16,1250
33,— стандартизированный чистый функциональный,18,2021-10-03,1975
34,Начала расти в,44,2005-11-01,1381
35,"Языком программирования,",63,2010-09-14,1273
36,Программирование,29,1995-05-14,3369
37,Разработан для применения,78,2020-12-29,1239
38,Одним,80,1968-02-23,1496
39,Программирования,29,2001-05-06,1707
40,—,9,1998-12-20,1564
41,"Программирования,",76,2011-10-25,2516
42,—,96,1989-07-04,4010
43,Ericsson.,61,1998-10-11,5185
44,Стандартизированный,67,2001-05-26,1271
45,Поддерживается компанией Ericsson.,44,2008-11-15,1686
46,Nosql-Базах данных высокой доступности.,34,2004-06-18,2060
47,Программирование —,79,2011-10-29,1265
